,main_law,draft,category_law,reading,initiators,committee,link_to_votes,url,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
526,Об избрании Акыйкатчы (Омбудсмена) Кыргызской Республики,Empty,Empty,NO,NO,NO,http://kenesh.kg//uploads/media/default/0001/85/170523160801_17-05-2023 12-59 Голосование 12.pdf,http://kenesh.kg/ru/article/show/10699/zakonoproekti-rassmotrennie-17-maya-2023-goda-i-vnesennie-na-golosovanie,за,не голосовал,за,за,не голосовал,не голосовала,отсутствовал,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,,за,за,,не голосовал,за,за,за,за,за,не голосовала,отсутствовала,за,за,за,за,за,за,не голосовал,отсутствовала,за,за,не голосовал,за,,за,не голосовал,за,за,за,за,отсутствовал,не голосовал,за,не голосовал,
527,"О списании бюджетных кредитов, выданных субъектам предпринимательства Баткенской области, пострадавшим в результате конфликта на кыргызско-таджикской границе 28-30 апреля 2021 года",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-2930/23от 24.02.23","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/85/100523145306_10-05-2023 10-57 Голосование 4.pdf,http://kenesh.kg/ru/article/show/10649/zakonoproekti-rassmotrennie-10-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,отсутствовал,не голосовал,за,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,за,не голосовал,за,отсутствовал,за,за,,за,за,,за,за,за,за,за,за,за,за,за,за,за,не голосовала,за,отсутствовал,за,не голосовала,за,не голосовал,за,отсутствовал,,за,за,за,за,за,за,за,за,за,отсутствовал,
528,Об электронной торговле,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-1831/23 от 07.02.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/85/100523145317_10-05-2023 11-12 Голосование 5.pdf,http://kenesh.kg/ru/article/show/10649/zakonoproekti-rassmotrennie-10-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,за,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,отсутствовал,не голосовал,за,за,за,за,не голосовала,за,за,за,не голосовала,за,не голосовал,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,за,отсутствовал,за,за,,за,за,,за,за,за,за,за,за,за,за,не голосовал,за,за,не голосовала,за,за,за,за,не голосовал,за,за,за,,за,за,за,за,за,за,за,за,за,отсутствовал,
529,О Народном Курултае,О проекте  Закона,Empty,вносится на первое чтение,"инициатор – Президент Кыргызской Республики, вх. № 6-7731/22 от 22.04.22","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/85/100523145336_10-05-2023 12-14 Голосование 7.pdf,http://kenesh.kg/ru/article/show/10649/zakonoproekti-rassmotrennie-10-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,отсутствовал,не голосовал,не голосовала,за,за,за,за,не голосовал,за,за,за,за,отсутствовал,не голосовала,не голосовал,отсутствовал,за,отсутствовал,за,за,за,за,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,не голосовала,против,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,не голосовал,,за,за,,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,за,за,не голосовал,за,,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,отсутствовал,
530,Бутун Кыргызстан,По предложению парламентской фракции Жогорку Кенеша Кыргызской Республики,Empty,NO,NO,"Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/85/100523145349_10-05-2023 01-10 Голосование 8.pdf,http://kenesh.kg/ru/article/show/10649/zakonoproekti-rassmotrennie-10-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,отсутствовал,против,не голосовал,не голосовал,не голосовал,за,не голосовал,не голосовала,за,за,не голосовал,отсутствовал,не голосовала,за,отсутствовал,за,отсутствовал,за,за,не голосовал,не голосовал,за,за,не голосовал,не голосовал,не голосовал,не голосовала,за,не голосовал,за,за,за,за,против,за,против,не голосовал,за,за,за,против,за,за,не голосовала,за,за,не голосовал,за,за,за,не голосовал,против,за,,за,не голосовал,,не голосовал,против,за,за,за,за,за,не голосовала,за,за,за,за,за,не голосовал,не голосовал,за,за,за,против,не голосовал,,за,не голосовал,за,за,против,за,за,против,за,не голосовал,
531,О досрочном освобождении Абдрахматовой А.Б. от должности Акыйкатчы (Омбудсмена) Кыргызской Республики,Empty,Empty,NO,NO,"Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155229_03-05-2023 10-24 Голосование 4.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,за,не голосовал,отсутствовала,против,не голосовал,не голосовал,за,не голосовал,не голосовала,за,за,за,не голосовал,за,за,отсутствовал,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,за,за,не голосовал,не голосовал,за,отсутствовала,за,против,за,за,за,не голосовала,против,отсутствовала,не голосовал,отсутствовал,за,отсутствовал,за,не голосовал,за,за,не голосовала,за,за,не голосовал,за,за,за,за,не голосовал,за,,за,за,,не голосовал,за,за,за,за,за,не голосовала,не голосовала,за,за,не голосовал,отсутствовала,за,отсутствовал,против,за,за,за,отсутствовал,за,,не голосовал,за,за,за,за,за,за,против,за,не голосовал,
532,О внесении изменения в Уголовно-процессуальный кодекс Кыргызской Республики,О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-1149/23 от 26.01.23","Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155244_03-05-2023 10-34 Голосование 5.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,за,не голосовал,отсутствовала,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,за,за,за,за,не голосовал,за,за,отсутствовала,за,за,не голосовал,за,за,за,не голосовал,не голосовала,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,,за,за,,за,за,за,за,за,за,за,не голосовала,за,за,за,отсутствовала,за,отсутствовал,за,не голосовала,за,за,отсутствовал,не голосовал,,не голосовал,за,за,не голосовал,за,за,за,за,за,не голосовал,
533,О внесении изменений в некоторые законодательные акты Кыргызской Республики в сфере государственных закупок,О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-4870/23 от 05.04.23","Комитетом по бюджету, экономической и фискальной политике, Комитетом по социальной политике, Комитетом по транспорту, коммуникациям, архитектуре и строительству, Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша, Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155258_03-05-2023 12-15 Голосование 6.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,за,не голосовал,отсутствовала,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,не голосовал,отсутствовал,за,за,за,не голосовала,за,за,не голосовал,не голосовал,отсутствовала,не голосовал,за,за,не голосовала,за,за,не голосовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,за,за,,не голосовал,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,не голосовала,за,не голосовал,отсутствовал,за,,за,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,
534,О кооперативах,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-4791/23 от 04.04.23","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155313_03-05-2023 01-00 Голосование 8.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,за,не голосовал,отсутствовала,за,не голосовал,не голосовал,за,не голосовал,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,не голосовал,за,не голосовал,отсутствовала,за,за,за,за,за,за,не голосовал,за,не голосовал,отсутствовал,за,за,за,не голосовал,за,за,за,против,за,не голосовал,за,не голосовал,за,не голосовал,не голосовал,за,,за,за,,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,не голосовала,за,за,за,за,,за,не голосовал,за,за,не голосовал,за,за,не голосовал,за,не голосовал,
535,"О ратификации Протокола о внесении изменений в Соглашение между Правительством Кыргызской Республики и Правительством Республики Узбекистан о взаимных поездках граждан от 3 октября 2006 года, подписанного 27 января 2023 года в городе Бишкек",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5062/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155337_03-05-2023 03-52 Голосование 11.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,за,за,за,за,отсутствовала,не голосовал,за,не голосовал,не голосовала,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,не голосовал,за,за,за,за,за,за,не голосовал,не голосовал,за,за,,не голосовала,за,,за,за,за,за,за,не голосовал,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,не голосовал,за,отсутствовал,,за,отсутствовал,за,не голосовал,за,за,за,за,не голосовал,за,
536,"О ратификации Протокола о внесении изменений в Соглашение между Правительством Кыргызской Республики и Правительством Республики Узбекистан о взаимных поездках граждан от 3 октября 2006 года, подписанного 27 января 2023 года в городе Бишкек",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5062/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155350_03-05-2023 03-52 Голосование 12.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,не голосовала,за,не голосовал,за,отсутствовала,не голосовал,не голосовал,не голосовал,не голосовала,за,за,не голосовал,за,за,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,не голосовал,за,за,,не голосовала,за,,за,за,за,за,за,не голосовал,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,не голосовал,не голосовал,за,отсутствовал,,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,
537,"О ратификации Протокола о внесении изменений в Соглашение между Правительством Кыргызской Республики и Правительством Республики Узбекистан о взаимных поездках граждан от 3 октября 2006 года, подписанного 27 января 2023 года в городе Бишкек",О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5062/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155404_03-05-2023 03-53 Голосование 13.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,за,за,за,за,отсутствовала,не голосовал,не голосовал,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,
538,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Мальдивской Республики о взаимном освобождении от визовых требований, подписанного 23 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5066/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155420_03-05-2023 03-54 Голосование 14.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,против,за,отсутствовал,отсутствовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,не голосовала,за,за,за,отсутствовал,,за,за,за,за,за,за,за,за,за,за,
539,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Мальдивской Республики о взаимном освобождении от визовых требований, подписанного 23 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на второечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5066/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155440_03-05-2023 03-55 Голосование 15.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,за,за,за,за,отсутствовала,за,за,не голосовал,за,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,не голосовал,за,за,за,за,за,за,за,за,не голосовал,
540,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Мальдивской Республики о взаимном освобождении от визовых требований, подписанного 23 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на третьечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5066/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155503_03-05-2023 03-55 Голосование 16.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,не голосовал,за,за,не голосовала,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,не голосовал,за,за,за,не голосовала,за,за,за,за,за,за,за,,за,за,,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,за,за,за,за,за,за,не голосовал,
541,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Королевства Бахрейн об освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 21 июня 2022 года в городе Манама",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5068/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155517_03-05-2023 03-57 Голосование 17.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,против,за,за,за,за,за,за,
542,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Королевства Бахрейн об освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 21 июня 2022 года в городе Манама",О проекте Закона,Empty,вносится на второечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5068/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155537_03-05-2023 03-57 Голосование 18.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,не голосовала,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,за,за,за,за,за,за,за,
543,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Королевства Бахрейн об освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 21 июня 2022 года в городе Манама",О проекте Закона,Empty,вносится на третьечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5068/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155549_03-05-2023 03-58 Голосование 19.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,против,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,не голосовал,за,за,за,за,за,за,
544,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Ливанской Республики о взаимном освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 22 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5065/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155603_03-05-2023 04-00 Голосование 20.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,не голосовал,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,за,за,за,за,за,за,за,
545,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Ливанской Республики о взаимном освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 22 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на второечтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5065/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155620_03-05-2023 04-00 Голосование 21.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,отсутствовал,,за,за,за,за,за,за,за,за,за,за,
546,"О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Ливанской Республики о взаимном освобождении от визовых требований владельцев дипломатических, служебных и специальных паспортов, подписанного 22 сентября 2022 года в городе Нью-Йорк",О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5065/23 от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155652_03-05-2023 04-00 Голосование 22.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовала,за,не голосовал,за,за,отсутствовала,не голосовал,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,не голосовал,отсутствовал,,за,за,за,за,за,за,за,за,за,за,
547,"О ратификации Изменений в Меморандум о взаимопонимании между Правительством Кыргызской Республики и Правительством Объединенных Арабских Эмиратов о взаимной отмене визовых требований для владельцев дипломатических паспортов от 17 января 2017 года, внесенных путем обмена нотами между Министерством иностранных дел Кыргызской Республики и Министерством иностранных дел и международного сотрудничества Объединенных Арабских Эмиратов",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-5064/23, от 11.04.2023","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/84/040523155711_03-05-2023 04-02 Голосование 23.pdf,http://kenesh.kg/ru/article/show/10628/zakonoproekti-rassmotrennie-3-maya-2023-goda-i-vnesennie-na-golosovanie,отсутствовал,за,отсутствовал,не голосовал,не голосовал,отсутствовала,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,,за,за,,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,отсутствовала,за,отсутствовал,за,за,за,за,за,за,,за,за,за,за,за,за,за,за,за,за,
