,main_law,draft,category_law,reading,initiators,committee,link_to_votes,url,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
737,О Государственном протоколе Кыргызской Республики,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-23866/22 от 30.11.2022","Комитетом по международным делам, обороне, безопасности и миграции рассмотрен",http://kenesh.kg//uploads/media/default/0001/78/030223115111_01-02-2023 05-54 Голосование 23.pdf,http://kenesh.kg/ru/article/show/10161/zakonoproekti-rassmotrennie-1-fevralya-2023-goda-i-vnesennie-na-golosovanie,за,против,не голосовал,отсутствовал,не голосовал,не голосовала,не голосовал,не голосовал,против,за,не голосовал,не голосовала,за,за,не голосовал,за,за,за,за,не голосовал,отсутствовал,за,против,не голосовал,не голосовал,против,не голосовала,не голосовал,не голосовал,не голосовал,не голосовала,против,не голосовал,за,отсутствовала,за,за,против,не голосовала,не голосовал,не голосовал,за,не голосовал,за,против,против,против,не голосовала,против,отсутствовала,за,за,против,не голосовал,против,не голосовал,за,,против,против,,не голосовал,за,против,против,против,против,за,не голосовала,против,против,не голосовал,не голосовала,против,не голосовал,за,против,не голосовал,против,не голосовал,за,,за,не голосовал,против,за,за,против,за,не голосовал,за,не голосовал,за
738,О порядке осуществления контрольных функций Жогорку Кенешем Кыргызской Республики,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на первое чтение,"инициатор – депутат Чойбеков Б.К., вх. № 6-23328/22 от 23.11.22","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/78/030223115233_01-02-2023 06-03 Голосование 25.pdf,http://kenesh.kg/ru/article/show/10161/zakonoproekti-rassmotrennie-1-fevralya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовал,за,не голосовала,за,за,не голосовал,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,,за,за,,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,за,,за,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,за
739,Об утверждении составов комитетов Жогорку Кенеша Кыргызской Республики № 18-VII от 13 января 2022 года,О внесении изменений в постановление Жогорку Кенеша Кыргызской Республики,О проекте постановления Жогорку Кенеша,NO,NO,"Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/78/030223115256_01-02-2023 06-07 Голосование 27.pdf,http://kenesh.kg/ru/article/show/10161/zakonoproekti-rassmotrennie-1-fevralya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,не голосовал,за,за,не голосовал,за,за,не голосовал,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовал,за,не голосовала,за,за,не голосовал,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовал,за,за,за,,не голосовала,за,,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,не голосовал,,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за
740,Об утверждении вопросов ведения комитетов Жогорку Кенеша Кыргызской Республики от 7 сентября 2022 года № 459-VII,"О внесении изменений в Вопросы ведения комитетов Жогорку Кенеша Кыргызской Республики, утвержденные постановлением Жогорку Кенеша Кыргызской Республики",. О проекте постановления Жогорку Кенеша,NO,NO,"Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/78/030223115312_01-02-2023 06-09 Голосование 28.pdf,http://kenesh.kg/ru/article/show/10161/zakonoproekti-rassmotrennie-1-fevralya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,не голосовал,за,за,не голосовал,за,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,не голосовал,за,не голосовала,за,за,не голосовал,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовал,за,за,за,,не голосовала,за,,не голосовал,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,не голосовал,,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за
741,"О порядке осуществления контрольных функций Жогорку Кенешем Кыргызской Республики», О порядке освещения деятельности Жогорку Кенеша Кыргызской Республики в государственных средствах массовой информации»),",О проекте Закона,О внесении изменений в некоторые законодательные акты Кыргызской Республики (в законы,вносится на второе чтение,"инициаторы –депутаты VI созыва и депутаты VII созыва Мажитова Ш., Маматалиев М.А., Сыдыков М.Ж., Түлөбаев Б.З., Лурова Л.Х., Исатбек кызы А., Сыдыгалиев Н.Ө., Ормонов У.З., Ашимова Д.А., Сулайманов А.Т., Шакиев Н.Т., Сулайманов К.К., Исираилов А.А., Коргонбай уулу Ж., Абиров Ж.Б., Ханджеза К.Л., Атажанов Ы.Ы., Ражабалиев Н.А., Осмонов А.Ж., Исмаилов Ф.Д.вх. № 6-10329/21 от 14.07.2021","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123120911_26-01-2023 02-16 Голосование 5.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,отсутствовал,за,за,не голосовал,за,не голосовала,не голосовал,за,за,за,за,не голосовал,за,за,за,не голосовал,отсутствовал,за,отсутствовал,за,за,не голосовал,отсутствовал,за,не голосовала,отсутствовал,за,отсутствовал,отсутствовала,за,за,не голосовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,не голосовала,за,отсутствовала,за,за,не голосовал,за,отсутствовал,за,отсутствовал,,за,отсутствовал,,за,за,за,отсутствовал,отсутствовал,отсутствовал,за,отсутствовала,отсутствовал,за,за,за,за,отсутствовал,за,за,за,отсутствовал,отсутствовал,за,,за,отсутствовал,за,отсутствовал,за,отсутствовал,за,отсутствовал,отсутствовал,за,отсутствовал
742,О выборах Президента Кыргызской Республики и депутатов Жогорку Кенеша Кыргызской Республики,О внесении изменений в конституционный Закон Кыргызской Республики,О проекте  Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-17295/22 от 06.09.22","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123120928_26-01-2023 02-19 Голосование 6.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,за,отсутствовал,за,отсутствовал,за,за,не голосовал,не голосовал,не голосовала,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,не голосовал,отсутствовал,за,не голосовала,за,за,отсутствовал,отсутствовала,за,за,не голосовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,не голосовала,за,отсутствовала,за,за,не голосовал,за,за,за,отсутствовал,,за,отсутствовал,,за,за,за,отсутствовал,за,за,за,за,отсутствовал,за,за,за,за,отсутствовал,за,за,за,за,за,за,,за,отсутствовал,за,отсутствовал,за,отсутствовал,за,за,за,за,отсутствовал
743,"О переименовании Кош-Добонского айылного аймака Кочкорского района Нарынской области, некоторых сел Ошской и Таласской областей и Кара-Бууринского района Таласской области Кыргызской Республики",О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-20723/22 от 17.10.2022","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123120942_26-01-2023 02-56 Голосование 7.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,за,отсутствовал,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,отсутствовала,за,за,за,за,не голосовал,за,отсутствовал,,за,за,,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,не голосовал,,за,за,не голосовал,за,за,за,за,за,не голосовал,за,за
744,"Об отнесении некоторых населенных пунктов Баткенской, Джалал-Абадской, Ошской и Иссык-Кульской областей Кыргызской Республики к категории айыла (села)",О проекте Закона,Empty,вносится на первое чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-25163/22 от 16.12.22","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123120958_26-01-2023 03-00 Голосование 8.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,за,отсутствовал,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,отсутствовала,за,за,за,за,не голосовал,за,отсутствовал,,не голосовала,за,,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,не голосовал,за,не голосовал,,за,за,не голосовал,за,за,за,за,за,не голосовал,за,за
745,О статусе судей Кыргызской Республики,О внесении изменения в конституционный Закон Кыргызской Республики,О проекте  Закона,вносится на первое чтение,"инициаторы – депутаты Акаев Ж.К., Кадырбеков Н., Маматалиев М.А., Алимжанова Н.Я., вх. № 6-20081/22 от 07.10.2022","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123121026_26-01-2023 03-47 Голосование 10.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,за,отсутствовал,за,отсутствовал,за,за,за,за,за,за,за,не голосовал,за,за,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,не голосовал,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,,за,не голосовал,,за,за,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,не голосовал,,за,за,не голосовал,за,за,за,за,за,за,за,за
746,"Об установлении воинских званий, классных чинов, специальных классных чинов и специальных званий",О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на первое чтение,"инициатор – Верховный суд Кыргызской Республики, вх. № 6-20608/22 от 14.10.2022","Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/77/270123121045_26-01-2023 03-58 Голосование 12.pdf,http://kenesh.kg/ru/article/show/10143/zakonoproekti-rassmotrennie-26-yanvarya-2023-goda-i-vnesennie-na-golosovanie,за,за,не голосовал,не голосовал,отсутствовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,не голосовала,за,за,не голосовал,не голосовала,не голосовал,не голосовал,за,отсутствовала,за,не голосовала,за,не голосовала,за,за,не голосовал,не голосовал,за,не голосовал,не голосовал,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,,за,за,,не голосовал,за,за,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,не голосовала,за,не голосовал,за,за,не голосовал,за,за,за,,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за
