,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
187,за,за,отсутствовал,отсутствовал,за,отсутствовала,отсутствовал,за,за,за,отсутствовал,отсутствовала,за,за,за,за,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,отсутствовал,за,отсутствовала,отсутствовал,за,за,за,не голосовал,отсутствовал,за,отсутствовала,за,за,отсутствовал,за,за,за,отсутствовал,за,за,не голосовал,за,за,отсутствовала,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,отсутствовал,за,отсутствовал,за,,за,за,за,за,за,за,за,отсутствовал,отсутствовал,,
188,за,за,отсутствовал,отсутствовал,за,отсутствовала,отсутствовал,за,за,за,отсутствовал,отсутствовала,за,за,за,за,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,отсутствовал,за,отсутствовала,отсутствовал,за,за,за,за,отсутствовал,за,отсутствовала,за,за,отсутствовал,за,за,за,отсутствовал,за,за,не голосовал,за,за,отсутствовала,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,отсутствовал,за,,за,за,за,за,за,за,за,отсутствовал,отсутствовал,,
189,за,за,отсутствовал,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,не голосовал,за,отсутствовал,отсутствовала,за,за,за,за,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,отсутствовал,за,отсутствовала,отсутствовал,за,не голосовал,не голосовала,за,отсутствовал,за,отсутствовала,за,за,отсутствовал,за,за,за,отсутствовал,за,за,не голосовал,за,за,отсутствовала,не голосовал,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,отсутствовал,не голосовал,,за,не голосовал,за,за,не голосовал,за,за,отсутствовал,отсутствовал,,
190,за,за,отсутствовал,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,не голосовал,за,отсутствовал,отсутствовала,за,не голосовал,за,за,за,не голосовал,отсутствовал,за,отсутствовал,отсутствовал,за,не голосовал,отсутствовал,за,отсутствовала,отсутствовал,не голосовал,не голосовал,не голосовала,за,отсутствовал,за,отсутствовала,за,не голосовала,отсутствовал,не голосовала,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,за,за,отсутствовала,не голосовал,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,не голосовал,за,не голосовал,не голосовала,за,за,за,за,отсутствовал,за,отсутствовал,не голосовал,,не голосовал,не голосовал,за,за,не голосовал,за,за,отсутствовал,отсутствовал,,
191,за,за,отсутствовал,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,отсутствовала,за,за,за,отсутствовал,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,отсутствовал,за,отсутствовала,отсутствовал,не голосовал,не голосовал,не голосовала,за,отсутствовал,за,отсутствовала,за,за,отсутствовал,за,за,не голосовал,отсутствовал,за,за,не голосовал,за,за,отсутствовала,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовал,за,за,против,за,за,отсутствовала,отсутствовала,не голосовал,за,за,не голосовала,за,за,за,за,отсутствовал,за,отсутствовал,не голосовал,,за,не голосовал,за,за,не голосовал,за,за,отсутствовал,отсутствовал,,
192,за,за,отсутствовал,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,не голосовал,за,отсутствовал,отсутствовала,за,за,за,отсутствовал,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,не голосовал,отсутствовал,за,отсутствовала,отсутствовал,за,за,не голосовала,за,отсутствовал,за,отсутствовала,за,не голосовала,отсутствовал,не голосовала,за,за,отсутствовал,не голосовал,за,не голосовал,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,не голосовал,за,не голосовал,не голосовала,за,за,за,за,отсутствовал,за,отсутствовал,за,,не голосовал,за,за,за,не голосовал,не голосовал,за,отсутствовал,отсутствовал,,
193,за,за,не голосовал,отсутствовал,не голосовал,отсутствовала,отсутствовал,отсутствовал,не голосовал,за,отсутствовал,против,за,за,за,против,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,не голосовал,за,не голосовала,не голосовал,отсутствовал,за,против,за,против,за,за,за,не голосовала,отсутствовал,не голосовала,за,отсутствовал,отсутствовал,не голосовал,за,против,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,за,за,за,за,не голосовал,против,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,,против,за,за,за,не голосовал,за,за,за,отсутствовал,,
194,отсутствовал,не голосовал,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,за,за,за,за,за,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,не голосовал,за,за,за,отсутствовала,за,за,за,отсутствовала,не голосовал,отсутствовал,отсутствовал,за,отсутствовал,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,отсутствовал,отсутствовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,отсутствовала,отсутствовала,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,отсутствовал,не голосовал,отсутствовал,за,,за,за,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
195,за,не голосовал,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,за,за,за,за,за,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,не голосовал,не голосовал,за,за,отсутствовала,за,за,не голосовал,не голосовала,не голосовал,отсутствовал,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,не голосовал,за,за,отсутствовала,отсутствовала,за,за,за,за,за,отсутствовал,за,против,отсутствовал,за,отсутствовал,за,,за,не голосовал,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
196,за,не голосовал,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,за,за,за,за,за,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,не голосовал,за,за,за,отсутствовала,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,отсутствовал,за,,за,не голосовал,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
197,за,не голосовал,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,за,за,за,за,за,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,не голосовал,не голосовал,за,за,отсутствовала,за,за,за,не голосовала,за,отсутствовал,не голосовал,за,за,за,отсутствовал,за,не голосовал,отсутствовал,отсутствовал,за,за,не голосовал,за,за,за,за,за,за,за,не голосовал,не голосовал,за,за,отсутствовал,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,отсутствовал,за,,за,за,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
198,не голосовал,за,за,отсутствовал,за,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,за,за,за,за,за,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,за,за,отсутствовала,за,за,за,за,не голосовал,отсутствовал,не голосовал,за,не голосовал,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,не голосовал,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,за,отсутствовала,отсутствовала,за,не голосовал,за,за,за,отсутствовал,за,за,отсутствовал,за,отсутствовал,не голосовал,,за,за,за,за,не голосовал,за,за,отсутствовал,отсутствовал,,
199,за,за,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,за,против,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,за,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,отсутствовал,за,за,за,за,отсутствовал,за,,за,за,за,за,за,за,за,отсутствовал,отсутствовал,,
200,не голосовал,за,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,за,не голосовал,отсутствовала,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,не голосовал,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,отсутствовал,за,за,за,за,отсутствовал,за,,за,за,за,за,за,за,за,отсутствовал,отсутствовал,,
201,за,за,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,отсутствовал,за,отсутствовал,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,не голосовала,не голосовал,за,за,не голосовала,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,не голосовал,не голосовала,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,не голосовала,за,за,за,не голосовал,за,за,за,не голосовал,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,за,,за,за,за,не голосовал,за,за,за,отсутствовал,отсутствовал,,
202,за,не голосовал,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,за,за,за,за,отсутствовал,за,отсутствовал,отсутствовал,не голосовал,за,за,за,за,не голосовал,не голосовал,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,не голосовала,за,за,отсутствовал,не голосовал,,за,не голосовал,за,за,не голосовал,не голосовал,за,за,отсутствовал,,
203,за,за,за,отсутствовал,не голосовал,отсутствовала,отсутствовал,не голосовал,против,за,отсутствовал,не голосовала,за,за,за,за,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,за,за,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,против,за,за,отсутствовал,не голосовал,,за,не голосовал,за,за,не голосовал,за,за,за,отсутствовал,,
204,за,за,за,отсутствовал,не голосовал,за,отсутствовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,не голосовал,отсутствовал,за,за,отсутствовал,за,отсутствовал,отсутствовал,за,не голосовал,за,за,не голосовала,не голосовал,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,не голосовал,не голосовал,за,отсутствовал,не голосовал,за,за,не голосовал,не голосовал,за,за,за,за,за,отсутствовала,отсутствовала,за,за,за,за,за,за,за,за,не голосовал,за,отсутствовал,за,,за,не голосовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,,
205,за,за,отсутствовал,за,не голосовал,не голосовала,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,не голосовал,за,отсутствовал,за,не голосовал,отсутствовал,за,за,за,отсутствовал,не голосовал,не голосовала,не голосовал,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,не голосовал,за,за,не голосовал,не голосовал,за,за,отсутствовала,не голосовал,за,за,за,не голосовала,за,за,за,за,отсутствовал,отсутствовал,за,,за,не голосовал,не голосовал,за,за,за,за,отсутствовал,отсутствовал,,
206,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,не голосовал,за,за,отсутствовал,не голосовала,за,за,за,против,не голосовала,за,против,за,не голосовал,отсутствовал,за,не голосовал,отсутствовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,отсутствовал,за,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,не голосовал,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,не голосовал,,за,за,за,за,за,за,за,отсутствовал,отсутствовал,,
207,за,за,не голосовал,за,не голосовал,за,не голосовал,не голосовал,за,за,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,за,не голосовал,отсутствовал,за,не голосовал,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,за,не голосовал,не голосовал,за,за,отсутствовала,не голосовал,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,,против,за,не голосовал,за,за,за,за,отсутствовал,отсутствовал,,
208,за,за,за,за,за,отсутствовала,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовала,за,против,отсутствовал,отсутствовал,отсутствовал,за,за,отсутствовал,за,за,за,за,не голосовал,отсутствовала,за,за,отсутствовал,за,за,за,отсутствовал,не голосовала,за,отсутствовал,за,за,за,отсутствовал,отсутствовал,за,за,за,отсутствовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,отсутствовал,отсутствовал,за,за,отсутствовала,за,за,за,не голосовала,отсутствовала,отсутствовал,за,за,за,отсутствовал,отсутствовал,за,,за,не голосовал,не голосовал,отсутствовал,за,за,за,отсутствовал,отсутствовал,,
209,за,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовала,за,за,отсутствовал,отсутствовал,отсутствовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,за,отсутствовал,за,за,за,не голосовал,отсутствовал,за,за,за,отсутствовала,за,за,за,отсутствовал,за,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,за,отсутствовал,за,за,отсутствовала,за,за,за,за,отсутствовала,отсутствовал,за,за,за,отсутствовал,отсутствовал,за,,за,за,за,отсутствовал,за,за,за,отсутствовал,отсутствовал,,
210,за,за,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовала,за,за,отсутствовал,отсутствовал,отсутствовал,за,не голосовал,отсутствовал,за,за,за,не голосовал,за,не голосовала,не голосовал,не голосовал,отсутствовал,за,за,за,отсутствовал,за,за,отсутствовал,за,за,за,не голосовал,отсутствовал,за,за,не голосовал,не голосовала,за,за,не голосовал,отсутствовал,не голосовал,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,за,отсутствовал,не голосовал,за,отсутствовала,за,за,за,за,за,отсутствовал,за,за,за,отсутствовал,отсутствовал,за,,за,за,не голосовал,отсутствовал,за,за,за,отсутствовал,отсутствовал,,
211,за,не голосовал,за,не голосовал,за,за,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовала,за,за,не голосовал,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,не голосовал,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,не голосовал,за,за,не голосовал,за,отсутствовал,за,за,отсутствовал,за,за,за,за,за,отсутствовал,за,не голосовала,отсутствовала,за,за,за,за,не голосовала,за,за,за,за,отсутствовал,отсутствовал,за,,за,за,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
212,за,не голосовал,за,за,за,не голосовала,за,за,за,за,отсутствовал,за,за,за,отсутствовал,за,отсутствовала,за,за,не голосовал,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,не голосовала,отсутствовал,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,за,за,не голосовал,за,за,не голосовал,за,отсутствовал,за,за,отсутствовал,за,за,за,за,за,отсутствовал,за,не голосовала,отсутствовала,за,за,не голосовал,за,за,за,не голосовал,за,за,отсутствовал,отсутствовал,за,,не голосовал,за,за,за,за,не голосовал,за,отсутствовал,отсутствовал,,
213,за,за,за,не голосовал,не голосовал,отсутствовала,не голосовал,за,за,не голосовал,отсутствовал,за,не голосовал,за,не голосовал,за,за,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,отсутствовал,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,за,за,не голосовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,не голосовал,за,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
214,за,за,за,не голосовал,за,отсутствовала,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,отсутствовал,не голосовал,не голосовала,за,за,за,за,за,не голосовала,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовал,за,за,за,за,не голосовал,за,за,за,за,за,за,отсутствовала,за,за,не голосовал,за,за,не голосовал,за,за,за,отсутствовал,не голосовал,не голосовал,,не голосовал,не голосовал,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
215,за,за,за,за,не голосовал,отсутствовала,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,не голосовал,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,не голосовал,не голосовал,за,не голосовала,не голосовал,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,не голосовал,не голосовал,,за,не голосовал,за,за,за,за,за,не голосовал,отсутствовал,,
216,за,за,за,за,за,отсутствовала,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,за,за,за,за,за,не голосовал,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,не голосовал,не голосовал,за,за,не голосовал,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,за,не голосовал,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,не голосовал,не голосовал,,за,не голосовал,за,за,за,за,за,не голосовал,отсутствовал,,
217,за,за,не голосовал,не голосовал,не голосовал,отсутствовала,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,не голосовал,за,,за,за,за,за,за,за,за,не голосовал,отсутствовал,,
218,за,за,не голосовал,не голосовал,не голосовал,отсутствовала,не голосовал,не голосовал,не голосовал,за,отсутствовал,за,за,за,не голосовал,за,не голосовала,за,за,не голосовал,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,не голосовала,за,за,не голосовал,не голосовала,не голосовал,не голосовал,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,не голосовал,не голосовал,за,не голосовал,за,не голосовал,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,за,не голосовала,не голосовал,за,за,за,за,за,за,не голосовал,за,отсутствовала,за,за,не голосовал,за,не голосовала,за,за,за,не голосовал,отсутствовал,не голосовал,за,,за,не голосовал,за,за,за,за,за,не голосовал,отсутствовал,,
219,за,за,не голосовал,не голосовал,не голосовал,отсутствовала,не голосовал,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,не голосовал,за,не голосовала,за,за,не голосовал,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,не голосовал,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,не голосовал,за,за,не голосовала,не голосовал,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,не голосовал,за,не голосовал,за,за,за,не голосовал,за,за,отсутствовала,за,за,за,за,не голосовала,за,за,за,за,отсутствовал,не голосовал,не голосовал,,за,за,не голосовал,за,не голосовал,за,за,не голосовал,отсутствовал,,
220,за,за,не голосовал,не голосовал,не голосовал,не голосовала,за,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,за,не голосовала,не голосовал,за,за,за,за,за,за,не голосовал,отсутствовал,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,не голосовала,за,за,не голосовала,за,отсутствовал,не голосовал,за,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
221,за,за,не голосовал,не голосовал,не голосовал,не голосовала,за,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,не голосовал,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,за,не голосовала,не голосовал,не голосовала,не голосовал,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,не голосовала,за,отсутствовал,не голосовал,за,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
222,за,за,за,за,не голосовал,не голосовала,за,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовала,не голосовал,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,за,за,отсутствовал,не голосовал,не голосовал,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
223,за,за,не голосовал,за,не голосовал,не голосовала,не голосовал,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовала,не голосовал,за,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,за,за,отсутствовал,не голосовал,не голосовал,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
224,за,за,не голосовал,не голосовал,не голосовал,не голосовала,не голосовал,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,не голосовала,отсутствовал,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,не голосовала,за,отсутствовал,не голосовал,не голосовал,,не голосовал,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
225,за,за,не голосовал,не голосовал,не голосовал,не голосовала,не голосовал,не голосовал,не голосовал,за,отсутствовал,не голосовала,за,за,за,за,не голосовала,за,за,за,отсутствовал,отсутствовал,за,отсутствовал,не голосовал,за,за,не голосовал,за,за,за,за,за,за,за,за,за,отсутствовал,за,не голосовал,за,за,за,за,за,за,за,не голосовала,не голосовал,не голосовала,не голосовал,за,за,за,за,не голосовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,не голосовала,за,за,за,не голосовала,за,отсутствовал,не голосовал,не голосовал,,за,за,за,за,не голосовал,за,за,не голосовал,отсутствовал,,
