|main_law|draft|category_law|reading|initiators|committee|link_to_votes|url
22|Об утверждении Типовых положений о парламентской фракции и депутатской группе Жогорку Кенеша Кыргызской Республики|О проекте постановления Жогорку Кенеша|Empty|NO|инициатор – депутат Азыгалиев Н.А., вх. №6-15060/23 от 29.11.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143855_21-12-2023 04-21 Голосование 31.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
23|Об утверждении Положения о временных комиссиях Жогорку Кенеша Кыргызской Республики|О проекте постановления Жогорку Кенеша|Empty|NO|инициатор – депутат Азыгалиев Н.А., вх. №6-15060/23 от 29.11.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143907_21-12-2023 04-21 Голосование 32.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
24|О государственных символах Кыргызской Республики|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на второе чтение|инициаторы – депутаты Шакиев Н.Т., Примов У.Б., вх. №6-14961/23 от 27.11.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134302_20-12-2023 10-15 Голосование 3.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
25|О государственных символах Кыргызской Республики|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на третье чтение|инициаторы – депутаты Шакиев Н.Т., Примов У.Б., вх. №6-14961/23 от 27.11.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134312_20-12-2023 10-15 Голосование 4.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
26|О государственной гражданской службе и муниципальной службе|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на третье чтение|инициатор – депутат Чойбеков Б.К., вх. № 6-5229/23 от 13.04.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134327_20-12-2023 10-19 Голосование 5.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
27|О внесении изменений в некоторые законодательные акты Кыргызской Республики по вопросам гражданства|О проекте Закона|Empty|вносится на третье чтение|инициаторы – депутаты Осмонов А.Ж., Нарматова Н.А., Маматалиев М.А., Акаев Ж.К., Кадырбеков Н.К., Айдарова А.А., Бакасов У.Б., Атазов Ш.К., Икрамов Т.И., Маткеримов А.Т., вх. № 6-6358/23 от 03.05.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134344_20-12-2023 10-21 Голосование 6.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
28|О выборах Президента Кыргызской Республики и депутатов Жогорку Кенеша Кыргызской Республики», О прокуратуре Кыргызской Республики», О статусе судей Кыргызской Республики»)|О проекте  Закона|О внесении изменений в некоторые конституционные законы Кыргызской Республики (в конституционные законы|вносится на третье чтение|инициаторы – депутаты Осмонов А.Ж.,Нарматова Н.А., Маматалиев М.А., Акаев Ж.К., Кадырбеков Н.К., Айдарова А.А., Бакасов У.Б., Атазов Ш.К., Икрамов Т.И., Маткеримов А.Т., вх. № 6-6360/23 от 03.05.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134358_20-12-2023 10-24 Голосование 7.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
29|О присоединении Кыргызской Республики к Конвенции о передаче осужденных лиц|О проекте Закона|Empty|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-11312/23, от 12.09.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134421_20-12-2023 10-26 Голосование 8.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
30|О ратификации Соглашения о взаимном признании банковских гарантий при осуществлении государственных (муниципальных) закупок в рамках Евразийского экономического союза, подписанного 29 августа 2023 года в городе Москве|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13616/23, от 26.10.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134437_20-12-2023 10-29 Голосование 9.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
31|О ратификации Соглашения о правилах выпуска (выдачи), обращения и погашения в рамках Евразийского экономического союза складских свидетельств на сельскохозяйственную продукцию, подписанного 31 июля 2023 года в городе Москве|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13469/23, от 25.10.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134453_20-12-2023 10-33 Голосование 10.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
